id,name
813,Goosebumps: Terror in the Graveyard Game
814,Aquarius
815,Chrononauts
816,2038: Tycoons of the Asteroid Belt
819,Quacksalbe
820,Axiom
821,La Trel
822,Carcassonne
823,Lord of the Rings
824,Hijara
825,Screaming Eagles
826,Cartagena
827,Attila
828,Wizards
829,Battle of the Bands
830,FIB-OR-NOT?
831,Schrille Stille
833,For the People
834,Chronology
835,Election
836,New England Railways
840,Corsairs
841,Razzia
843,Circus Minimus
844,Mausoleum
847,Feudal
848,Tip Tap
849,Golf Masters
852,Pop Belly
853,...und tschüss!
854,Doge
855,Java
856,"New York, New York"
857,Titanic: Der Mythos
858,Blindes Huhn
859,Illuminati
860,Scotland the Brave
861,Weapons and Warriors:  Castle Combat Set
864,Mage Knight
865,Landslide
866,"Lie, Cheat & Steal"
867,Morisi
868,Atlantis
869,Bongo!
870,Empires of the Ancient World
871,Fire
872,M
873,Offline
874,Pythago
875,Roads & Boats
876,Tennis Masters
877,Troia
878,Wyatt Earp
879,Tacara
882,Derby
883,Ivanhoe
884,Way Out West
886,Der Garten des Sonnenkönigs
890,Real Action Stockcar Championship
891,Cranium
892,Ad Mania
893,Smuggle
894,LifeLinks
895,APBA Pro Baseball
896,Stir Crazy
897,Dear Abby
898,Initial Reaction
899,Movie Mania
900,City
902,Meuterer
903,Hamsterrolle
904,Dream Factory
905,Vagabondo
906,Abilene
907,Beheaded
908,Tally Ho!
909,Saturn
910,Kunst Stücke
911,Empires of the Middle Ages
912,Pacific Victory
914,Battle Platform Antilles
915,Mystery of the Abbey
916,Piraten-Pitt
917,Rack-O
920,Ultimate Outburst
923,Breakaway Rider
925,Werewolf
927,Lift Off
928,Gerüchteküche
929,The Great Dalmuti
930,Böse Buben
931,Corner
932,Top Race
933,New Orleans Big Band
934,Die Kette von Saba
935,Australian Rails
936,The Fury of Dracula
937,1825 Unit 1
938,Enchanted Forest
939,Star Wars: The Queen's Gambit
940,Karawane
941,Turbo Taxi
942,Gastérospeed
943,Ligretto
944,Mag·Blast
945,Nametrain
