game.id,details.name,details.yearpublished,game.type,attributes.boardgamecategory,price.prices,details.maxplayers,details.minplayers,details.maxplaytime,details.playingtime,details.minplaytime,details.minage
3445,Playing Shakespeare,1990,boardgame,Party Game,49,24,4,60,60,60,12
3446,Game Spice: Monopoly Expansion,1988,boardgameexpansion,"Economic,Expansion for Base-game,Negotiation",,6,3,90,90,90,0
3447,The Game of Maze,1990,boardgame,Maze,3,4,2,20,20,20,10
3448,Hazard,1375,boardgame,,,6,2,30,30,30,8
3450,The Dickens Game,1983,boardgame,Novel-based,,4,2,30,30,30,8
3451,Coffee!,2002,boardgame,Card Game,,4,1,20,20,20,0
3452,Emerald,2002,boardgame,"Adventure,Exploration,Fantasy",,5,2,45,45,45,10
3453,The Zodiac Game,1988,boardgame,Party Game,,6,2,30,30,30,12
3454,Ludus Romanus,1996,boardgame,Abstract Strategy,,2,2,20,20,20,0
3455,Runestone,1995,boardgame,Dice,,2,2,10,10,10,7
3456,The Hieroglyphs Game,1989,boardgame,"Ancient,Educational,Mythology",,8,2,20,20,20,10
3457,Tabula,1990,boardgame,Abstract Strategy,,2,2,20,20,20,5
3458,The Celtic Game,1997,boardgame,Abstract Strategy,,2,2,20,20,20,0
3459,Major Battles and Campaigns of General George S. Patton,1973,boardgame,"Wargame,World War II","15, 15, 20",2,2,30,30,30,12
3460,Kaubojai,0,boardgame,"Farming,Racing",,4,2,60,60,60,8
3461,OrkoMondo,2002,boardgame,"Abstract Strategy,Dice,Fantasy,Print & Play",,4,2,30,30,30,8
3462,Savana,0,boardgame,"Children's Game,Racing",,6,2,30,30,30,0
3463,Wizard,1978,boardgame,"Adventure,Fantasy,Fighting,Wargame",,2,2,30,30,30,10
3464,Melee,1977,boardgame,"Adventure,Fantasy,Fighting,Wargame",120,2,2,15,15,15,10
3465,Black Hole,1978,boardgame,"Science Fiction,Wargame","10, 20",2,2,30,30,30,10
3466,WarpWar,1977,boardgame,"Science Fiction,Wargame",,2,2,30,30,30,12
3467,Star Quest,1979,boardgame,Science Fiction,,6,2,30,30,30,12
3468,Panzer Pranks,1980,boardgame,"Humor,Wargame,World War II","60, 15",2,2,20,20,20,12
3469,China Topf,1996,boardgame,"Action / Dexterity,Children's Game",,4,2,20,20,20,4
3471,Le Mans,1961,boardgame,"Racing,Sports",50,12,1,60,60,60,10
3472,Plagio,1999,boardgame,"Humor,Party Game,Word Game",,0,4,20,20,20,12
3473,RisiKard!,1996,boardgame,"Card Game,Wargame",,6,3,20,20,20,0
3474,Sandsplatters,1998,boardgameexpansion,"Fighting,Miniatures,Science Fiction,Wargame",,2,1,30,30,30,10
3475,Shadowfist,1995,boardgame,"Card Game,Collectible Components,Fighting","9, 42",7,2,60,60,60,10
3476,Shadowrun: DMZ Downtown Militarized Zone,1990,boardgame,"Miniatures,Science Fiction,Wargame",,2,2,30,30,30,12
3479,Killer Instinct,1996,boardgame,"Card Game,Collectible Components,Fighting,Science Fiction,Video Game Theme",,2,2,10,10,10,10
